marker,task,n_obs,n_subj,beta_months,se,z,p,converged,equipment_confounded
jitter,POOLED,108,3,-8.235088374909289e-06,0.00017965466503752563,-0.04583843326967976,0.9634390256722922,True,True
shimmer,POOLED,108,3,0.004942599624088708,0.0033905060911287605,1.4577763588217674,0.14490219667391946,True,True
hnr,POOLED,108,3,-0.11765722462425474,0.027197396655173074,-4.326047309453633,1.5180883133123676e-05,True,True
f0_mean,POOLED,108,3,-0.24829498369726988,0.057121504826951774,-4.346786458961009,1.3814659478240489e-05,True,True
f0_var,POOLED,108,3,0.0002562627916566759,0.0004557093621943209,0.5623382201821033,0.5738856025730699,True,True
loudness,POOLED,108,3,0.020253095088052,0.0032834150663077237,6.168301807430966,6.902729818257222e-10,True,True
