feature_set,classifier,n_folds,auc_mean,auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
egemaps,gbm,5,0.913,0.07,0.824,0.096,0.784,0.133
egemaps,logreg,5,0.853,0.133,0.769,0.126,0.72,0.18
egemaps,rf,5,0.917,0.081,0.773,0.198,0.676,0.348
egemaps,xgb,5,0.918,0.069,0.795,0.129,0.74,0.188
w2v2,gbm,5,0.805,0.079,0.705,0.063,0.642,0.075
w2v2,logreg,5,0.898,0.041,0.823,0.059,0.803,0.052
w2v2,rf,5,0.776,0.09,0.692,0.08,0.618,0.121
w2v2,xgb,5,0.829,0.051,0.726,0.06,0.668,0.078
