feature_set,classifier,n_folds,auc_mean,auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
egemaps,gbm,5,0.992,0.01,0.961,0.033,0.963,0.033
egemaps,logreg,5,0.97,0.042,0.94,0.051,0.945,0.048
egemaps,rf,5,0.989,0.015,0.954,0.052,0.959,0.047
egemaps,xgb,5,0.987,0.018,0.957,0.047,0.962,0.037
w2v2,gbm,5,0.956,0.061,0.898,0.06,0.907,0.063
w2v2,logreg,5,0.962,0.057,0.939,0.045,0.945,0.044
w2v2,rf,5,0.945,0.068,0.878,0.081,0.891,0.083
w2v2,xgb,5,0.953,0.059,0.893,0.048,0.905,0.049
