task,classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
D1,rf,egemaps,1,34,9,1.0,1.0,1.0
D1,rf,egemaps,2,34,9,1.0,1.0,1.0
D1,rf,egemaps,3,35,8,1.0,1.0,1.0
D1,rf,egemaps,4,35,8,1.0,1.0,1.0
D1,gbm,egemaps,0,34,9,1.0,1.0,1.0
D1,gbm,egemaps,1,34,9,1.0,1.0,1.0
D1,gbm,egemaps,2,34,9,1.0,1.0,1.0
D1,gbm,egemaps,3,35,8,1.0,1.0,1.0
D1,gbm,egemaps,4,35,8,1.0,1.0,1.0
D1,xgb,egemaps,0,34,9,0.875,0.875,0.9090909090909091
D1,xgb,egemaps,1,34,9,0.875,0.875,0.9090909090909091
D1,xgb,egemaps,2,34,9,1.0,1.0,1.0
D1,xgb,egemaps,3,35,8,1.0,1.0,1.0
D1,xgb,egemaps,4,35,8,0.75,0.75,0.6666666666666666
D1,logreg,w2v2,0,34,9,1.0,1.0,1.0
D1,logreg,w2v2,1,34,9,1.0,1.0,1.0
D1,logreg,w2v2,2,34,9,1.0,1.0,1.0
D1,logreg,w2v2,3,35,8,1.0,1.0,1.0
D1,logreg,w2v2,4,35,8,0.9375,0.875,0.8571428571428571
D1,rf,w2v2,0,34,9,1.0,1.0,1.0
D1,rf,w2v2,1,34,9,1.0,0.875,0.9090909090909091
D1,rf,w2v2,2,34,9,1.0,1.0,1.0
D1,rf,w2v2,3,35,8,1.0,1.0,1.0
D1,rf,w2v2,4,35,8,1.0,1.0,1.0
D1,gbm,w2v2,0,34,9,0.875,0.875,0.9090909090909091
D1,gbm,w2v2,1,34,9,1.0,0.875,0.9090909090909091
D1,gbm,w2v2,2,34,9,1.0,1.0,1.0
D1,gbm,w2v2,3,35,8,1.0,1.0,1.0
D1,gbm,w2v2,4,35,8,1.0,1.0,1.0
D1,xgb,w2v2,0,34,9,0.875,0.875,0.9090909090909091
D1,xgb,w2v2,1,34,9,1.0,1.0,1.0
D1,xgb,w2v2,2,34,9,1.0,1.0,1.0
D1,xgb,w2v2,3,35,8,1.0,0.9,0.8888888888888888
D1,xgb,w2v2,4,35,8,1.0,1.0,1.0
D2,logreg,egemaps,0,34,9,1.0,1.0,1.0
D2,logreg,egemaps,1,34,9,1.0,1.0,1.0
D2,logreg,egemaps,2,34,9,1.0,1.0,1.0
D2,logreg,egemaps,3,35,8,1.0,1.0,1.0
D2,logreg,egemaps,4,35,8,1.0,1.0,1.0
D2,rf,egemaps,0,34,9,1.0,1.0,1.0
D2,rf,egemaps,1,34,9,1.0,1.0,1.0
D2,rf,egemaps,2,34,9,1.0,1.0,1.0
D2,rf,egemaps,3,35,8,1.0,1.0,1.0
D2,rf,egemaps,4,35,8,1.0,1.0,1.0
D2,gbm,egemaps,0,34,9,1.0,1.0,1.0
D2,gbm,egemaps,1,34,9,1.0,1.0,1.0
D2,gbm,egemaps,2,34,9,1.0,1.0,1.0
D2,gbm,egemaps,3,35,8,1.0,1.0,1.0
D2,gbm,egemaps,4,35,8,1.0,1.0,1.0
D2,xgb,egemaps,0,34,9,0.875,0.875,0.9090909090909091
D2,xgb,egemaps,1,34,9,1.0,1.0,1.0
D2,xgb,egemaps,2,34,9,1.0,1.0,1.0
D2,xgb,egemaps,3,35,8,1.0,1.0,1.0
D2,xgb,egemaps,4,35,8,1.0,1.0,1.0
D2,logreg,w2v2,0,34,9,1.0,1.0,1.0
D2,logreg,w2v2,1,34,9,1.0,1.0,1.0
D2,logreg,w2v2,2,34,9,1.0,1.0,1.0
D2,logreg,w2v2,3,35,8,1.0,1.0,1.0
D2,logreg,w2v2,4,35,8,1.0,0.875,0.8571428571428571
D2,rf,w2v2,0,34,9,1.0,1.0,1.0
D2,rf,w2v2,1,34,9,1.0,1.0,1.0
D2,rf,w2v2,2,34,9,1.0,1.0,1.0
D2,rf,w2v2,3,35,8,1.0,0.9,0.8888888888888888
D2,rf,w2v2,4,35,8,1.0,0.75,0.8
D2,gbm,w2v2,0,34,9,1.0,1.0,1.0
D2,gbm,w2v2,1,34,9,1.0,1.0,1.0
D2,gbm,w2v2,2,34,9,1.0,0.875,0.9090909090909091
D2,gbm,w2v2,3,35,8,0.8333333333333334,0.6333333333333333,0.6666666666666666
D2,gbm,w2v2,4,35,8,0.9375,0.875,0.8888888888888888
D2,xgb,w2v2,0,34,9,1.0,1.0,1.0
D2,xgb,w2v2,1,34,9,1.0,1.0,1.0
D2,xgb,w2v2,2,34,9,1.0,1.0,1.0
D2,xgb,w2v2,3,35,8,0.6666666666666667,0.6666666666666666,0.8333333333333334
D2,xgb,w2v2,4,35,8,0.875,0.875,0.8571428571428571
FB1,logreg,egemaps,0,32,8,1.0,1.0,1.0
FB1,logreg,egemaps,1,32,8,1.0,1.0,1.0
FB1,logreg,egemaps,2,32,8,1.0,1.0,1.0
FB1,logreg,egemaps,3,32,8,1.0,1.0,1.0
FB1,logreg,egemaps,4,32,8,1.0,1.0,1.0
FB1,rf,egemaps,0,32,8,1.0,1.0,1.0
FB1,rf,egemaps,1,32,8,1.0,1.0,1.0
FB1,rf,egemaps,2,32,8,1.0,1.0,1.0
FB1,rf,egemaps,3,32,8,1.0,1.0,1.0
FB1,rf,egemaps,4,32,8,1.0,1.0,1.0
FB1,gbm,egemaps,0,32,8,1.0,1.0,1.0
FB1,gbm,egemaps,1,32,8,1.0,1.0,1.0
FB1,gbm,egemaps,2,32,8,1.0,1.0,1.0
FB1,gbm,egemaps,3,32,8,1.0,1.0,1.0
FB1,gbm,egemaps,4,32,8,1.0,1.0,1.0
FB1,xgb,egemaps,0,32,8,1.0,1.0,1.0
FB1,xgb,egemaps,1,32,8,1.0,1.0,1.0
FB1,xgb,egemaps,2,32,8,1.0,1.0,1.0
FB1,xgb,egemaps,3,32,8,0.75,0.75,0.8
FB1,xgb,egemaps,4,32,8,0.875,0.875,0.8888888888888888
FB1,logreg,w2v2,0,32,8,1.0,1.0,1.0
FB1,logreg,w2v2,1,32,8,1.0,1.0,1.0
FB1,logreg,w2v2,2,32,8,1.0,1.0,1.0
FB1,logreg,w2v2,3,32,8,1.0,1.0,1.0
FB1,logreg,w2v2,4,32,8,1.0,1.0,1.0
FB1,rf,w2v2,0,32,8,1.0,1.0,1.0
FB1,rf,w2v2,1,32,8,1.0,1.0,1.0
FB1,rf,w2v2,2,32,8,1.0,1.0,1.0
FB1,rf,w2v2,3,32,8,1.0,1.0,1.0
FB1,rf,w2v2,4,32,8,1.0,1.0,1.0
FB1,gbm,w2v2,0,32,8,1.0,1.0,1.0
FB1,gbm,w2v2,1,32,8,0.5625,0.5,0.5
FB1,gbm,w2v2,2,32,8,1.0,0.8333333333333333,0.9090909090909091
FB1,gbm,w2v2,3,32,8,0.875,0.875,0.8571428571428571
FB1,gbm,w2v2,4,32,8,0.75,0.75,0.75
FB1,xgb,w2v2,0,32,8,1.0,1.0,1.0
FB1,xgb,w2v2,1,32,8,0.625,0.625,0.7272727272727273
FB1,xgb,w2v2,2,32,8,1.0,1.0,1.0
FB1,xgb,w2v2,3,32,8,0.875,0.875,0.8571428571428571
FB1,xgb,w2v2,4,32,8,0.75,0.75,0.75
PR1,logreg,egemaps,0,32,9,1.0,1.0,1.0
PR1,logreg,egemaps,1,33,8,1.0,1.0,1.0
PR1,logreg,egemaps,2,33,8,1.0,1.0,1.0
PR1,logreg,egemaps,3,33,8,1.0,1.0,1.0
PR1,logreg,egemaps,4,33,8,1.0,1.0,1.0
PR1,rf,egemaps,0,32,9,1.0,1.0,1.0
PR1,rf,egemaps,1,33,8,1.0,1.0,1.0
PR1,rf,egemaps,2,33,8,1.0,1.0,1.0
PR1,rf,egemaps,3,33,8,1.0,1.0,1.0
PR1,rf,egemaps,4,33,8,1.0,1.0,1.0
