task,marker,feature,n,n_young,n_elderly,n_pd,F_group,p_group,beta_pd,p_pd,beta_young,p_young,q_group
B1,jitter,jitterLocal_sma3nz_amean,56,15,17,24,0.8229927140939239,0.4448620718872579,-0.00038324208790015466,0.8191602033551597,0.0062658297894941425,0.2560361640910533,0.47103042905709663
B1,shimmer,shimmerLocaldB_sma3nz_amean,56,15,17,24,12.393403016866799,4.1058452399001364e-05,-0.236477983872321,8.137276622695726e-06,-0.2742724777657498,0.08444378348023494,0.0001318818333397885
B1,hnr,HNRdBACF_sma3nz_amean,56,15,17,24,18.921384890665717,7.131423075719618e-07,2.262921632017123,2.395328059394736e-07,0.22331606331634823,0.8580787319750959,6.418280768147656e-06
B1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,56,15,17,24,0.31621864759925716,0.7303188668842665,-0.5841022726116469,0.4488059751378384,0.006030249868415272,0.9980871255949509,0.7303188668842665
B1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,56,15,17,24,14.150672097420832,1.2923659115286328e-05,-0.05295545661163703,3.3831185243985927e-06,-0.014420577170724026,0.6660473726522612,5.8156466018788477e-05
B1,loudness,loudness_sma3_amean,56,15,17,24,2.048297709196544,0.1394305772332078,-0.07281367173962008,0.05074559712182176,-0.031240405390725354,0.7940278110386726,0.19305772232290308
B2,jitter,jitterLocal_sma3nz_amean,53,15,18,20,2.862967838265614,0.06689197059053222,-0.001497853372596003,0.36787314046615993,0.010000298959635884,0.09025304312618146,0.10033795588579833
B2,shimmer,shimmerLocaldB_sma3nz_amean,53,15,18,20,10.117835867814014,0.00021553330425324511,-0.20524141728887388,4.9437384202361414e-05,-0.1738355181679414,0.2873458152694459,0.0005542284966512018
B2,hnr,HNRdBACF_sma3nz_amean,53,15,18,20,17.19144034844177,2.3426225662715276e-06,2.1149911782159,1.1196638292367913e-06,0.44699921750429183,0.7387047993031227,1.4055735397629165e-05
B2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,53,15,18,20,0.8864600693563347,0.4187499690144347,-0.6371371738776411,0.3958162512474823,1.6605418093727042,0.5277181665275027,0.47103042905709663
B2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,53,15,18,20,9.528080160365857,0.00032753772886295554,-0.05237491774418795,9.487451108230256e-05,-0.02876312581199157,0.5083398769916002,0.00073695988994165
B2,loudness,loudness_sma3_amean,53,15,18,20,1.666790961285215,0.19959609261748482,-0.072607306361731,0.07586185350995418,-0.11964467922039312,0.3985913270534845,0.2566235476510519
PR1,jitter,jitterLocal_sma3nz_amean,56,15,18,23,4.3284920400438756,0.01835170801534533,0.0026757160601319197,0.14190951621214962,0.016850576002947995,0.006413558923417119,0.03303307442762159
PR1,shimmer,shimmerLocaldB_sma3nz_amean,56,15,18,23,12.292047924377293,4.396061111326284e-05,-0.20310609329862872,1.2610076523211378e-05,-0.03351568758812437,0.8101429481048107,0.0001318818333397885
PR1,hnr,HNRdBACF_sma3nz_amean,56,15,18,23,21.03591244212028,2.1785856702621565e-07,2.078788565845924,2.0009809767372634e-06,-2.662125918368968,0.0427302432966686,3.921454206471882e-06
PR1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,56,15,18,23,1.2962217137376706,0.28242215133524173,-0.4764668863294804,0.544915420708734,-4.131103488341214,0.11597721773521684,0.3389065816022901
PR1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,56,15,18,23,6.811674403510592,0.0023884066481601627,-0.040145865402998235,0.006626805123652871,0.07140173179369057,0.1337870380201777,0.0047768132963203255
PR1,loudness,loudness_sma3_amean,56,15,18,23,3.949914468221008,0.025417430061308147,-0.08767623623958966,0.012082700549203596,-0.19143055636117906,0.09157002536526604,0.0415921582821406
